code,URIEL,joshi,family,# of NA properties,# of zero properties,# of one properties,mean distance,min distance,Q1 distance,median distance,Q3 distance,max distance,mode distance,# of zero distances,# of mode distances,# of one distances
nld,True,4.0,Indo-European,28,0,0,0.11690804020100483,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,117,0
ron,True,3.0,Indo-European,7,13,8,0.6390100502512578,0.0,0.641,0.641,0.641,1.0,0.641,1,2,16
gan,False,1.0,Sino-Tibetan,27,0,1,0.3657824120603018,0.0,0.0002,0.0002,0.879,1.0,0.0002,3,50,7
som,True,1.0,Afro-Asiatic,3,13,12,0.6029020100502538,0.0002,0.5687,0.5687,0.6455,1.0,0.5687,0,1,8
mai,True,1.0,Indo-European,28,0,0,0.429206532663318,0.0002,0.0002,0.6936,0.6936,1.0,0.6936,0,66,6
mag,True,0.0,Indo-European,28,0,0,0.1047567839195978,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,107,0
pbt,False,,Indo-European,28,0,0,0.09154824120603003,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,109,0
xho,True,2.0,Atlantic-Congo,28,0,0,0.11003165829145699,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,108,0
gaz,True,,Afro-Asiatic,28,0,0,0.282977386934673,0.0,0.0002,0.0002,0.879,1.0,0.0002,1,76,4
zlm,True,3.0,Austronesian,28,0,0,0.21678040201005,0.0002,0.0002,0.0002,0.5456,0.879,0.0002,0,111,0
acm,True,,Afro-Asiatic,28,0,0,0.100037185929648,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,112,0
ars,True,,Afro-Asiatic,28,0,0,0.07770402010050242,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,113,0
khm,True,1.0,Austroasiatic,3,18,7,0.6583432160804036,0.0,0.6667,0.6667,0.6667,1.0,0.6667,1,14,6
afr,True,3.0,Indo-European,28,0,0,0.16952814070351727,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,111,0
sin,True,0.0,Indo-European,7,14,7,0.6571623115577906,0.0,0.6667,0.6667,0.6667,1.0,0.6667,1,6,13
fuv,True,,Atlantic-Congo,28,0,0,0.13358241206030122,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,109,0
kaz,True,3.0,Turkic,26,1,1,0.3279788944723616,0.0,0.0002,0.0002,0.879,1.0,0.0002,4,58,9
hne,False,,Indo-European,28,0,0,0.24276582914572825,0.0002,0.0002,0.0002,0.5687,0.879,0.0002,0,106,0
ceb,True,3.0,Austronesian,28,0,0,0.11398944723618079,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,111,0
kmr,True,,Indo-European,4,11,13,0.18582964824120585,0.0,0.0002,0.0002,0.5456,0.8934,0.0002,1,76,0
asm,True,1.0,Indo-European,28,0,0,0.10719648241206013,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,107,0
tts,False,,Tai-Kadai,28,0,0,0.06497688442211053,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,114,0
